0	950
1	1100
2	1550
3	1250
4	1000
5	600
6	1350
7	300
8	1300
9	850
10	900
11	550
12	600
13	1500
14	1400
16	1300
17	1400
19	650
20	1250
21	850
22	950
23	1050
24	900
25	1150
26	950
27	1100
28	1000
29	800
35	950
36	1050
37	1200
39	900
40	850
41	950
47	500
48	600
49	850
51	1050
52	900
53	1150
60	1000
61	1100
63	1250
64	750
66	950
67	1400
68	1100
70	1250
71	1150
73	800
74	900
75	1100
76	800
81	1150
86	1000
87	1050
88	1250
89	950
90	1050
91	1000
92	1100
93	1050
94	1300
95	1000
96	950
97	1050
98	1000
99	1100
100	1050
101	1100
102	1000
103	1150
104	850
105	1050
106	1350
107	850
108	950
109	5200
110	900
111	1100
112	1050
113	1100
114	1050
115	950
116	1300
117	850
118	1100
119	1150
120	950
121	1050
122	1100
123	950
